magnitude,cdi,nst,depth,latitude,longitude,Year,magType
7,4,929,39,43.006,145.119,2004,6
7.1,0,439,10,-3.609,135.404,2004,7
7.1,5,585,10,-46.676,164.721,2004,7
7.2,8,708,15,4.695,-77.508,2004,6
7.5,5,301,10,-8.152,124.868,2004,7
6.7,0,233,10,-11.128,162.208,2004,6
6.7,7,459,10,49.277,-128.772,2004,6
6.6,0,782,16,37.226,138.779,2004,7
6.7,5,698,94,24.53,122.694,2004,6
7,0,441,35,11.422,-86.665,2004,7
6.5,5,526,105,13.925,120.534,2004,6
6.8,0,545,36,-10.951,162.161,2004,6
6.6,0,478,10,33.205,137.227,2004,7
7.4,0,594,10,33.184,137.071,2004,6
7.2,0,643,14,33.07,136.618,2004,7
6.5,0,349,5,-35.173,-70.525,2004,6
6.5,0,305,13.4,-0.443,133.091,2004,7
6.9,0,798,188.6,55.682,160.003,2004,6
6.6,0,282,21,-37.695,-73.406,2004,6
6.7,0,386,65.8,-9.362,122.839,2004,6
6.5,0,424,228.4,-13.174,167.198,2004,6
6.6,0,728,187.1,36.512,71.029,2004,6
6.7,0,256,25.7,-3.665,135.339,2004,7
7.3,0,390,10,-4.003,135.023,2004,6
7,0,367,16.6,-3.615,135.538,2004,7
6.7,0,243,17.4,-3.12,127.4,2004,6
7.3,0,235,10,-22.015,169.766,2003,7
6.6,0,552,10,28.995,58.311,2003,7
6.5,0,405,33,8.416,-82.824,2003,6
6.5,7,65,8.382,35.7005,-121.101,2003,5
6.8,0,447,10,23.039,121.362,2003,6
6.6,0,384,35,-5.581,150.88,2003,6
6.5,0,487,35,12.025,125.416,2003,6
6.6,0,475,113.7,-19.262,168.892,2003,6
7,0,568,10,37.812,142.619,2003,6
6.7,0,556,32,42.648,144.57,2003,7
6.7,0,643,10,50.211,87.721,2003,6
6.5,0,586,25,42.45,144.38,2003,7
7.3,0,667,16,50.038,87.813,2003,6
7.4,0,514,33,41.774,143.593,2003,7
8.16,0,0,27,41.815,143.91,2003,8
6.6,0,518,10,19.917,95.672,2003,6
7.2,0,428,28,-45.104,167.144,2003,7
7.6,0,315,10,-60.532,-43.411,2003,7
6.5,0,156,33,-3.828,152.174,2003,6
6.8,0,398,33,-30.608,-71.637,2003,7
6.9,0,733,174.8,55.492,159.999,2003,6
6.6,0,419,33,-5.095,152.502,2003,7
7,0,473,31,2.354,128.855,2003,7
7,0,690,68,38.849,141.568,2003,6
6.8,0,534,12,36.964,3.634,2003,7
6.5,0,247,33,-8.294,120.743,2003,7
6.8,0,431,40.2,-4.694,153.238,2003,7
7.6,0,551,24,18.77,-104.104,2003,6
6.5,0,316,24,13.626,-90.774,2003,7
7.3,0,457,33,-10.491,160.77,2003,7
6.7,0,323,71.9,-5.311,153.701,2003,6
6.7,0,453,34,-4.786,153.275,2002,6
7.9,8,0,4.2,63.5141,-147.453,2002,5
7.4,0,418,30,2.824,96.085,2002,6
6.6,0,0,4.2,63.5144,-147.912,2002,5
6.7,0,250,10,-1.511,133.973,2002,4
7.6,0,375,10,-1.757,134.297,2002,7
6.5,0,646,21,13.036,93.068,2002,7
7.6,0,428,13,-3.302,142.945,2002,7
6.5,0,260,30,14.101,146.199,2002,7
6.5,0,533,10,7.929,-82.793,2002,7
6.5,0,555,10,35.626,49.047,2002,7
6.6,0,420,54,-30.805,-71.124,2002,6
6.7,0,272,33,-12.592,166.383,2002,7
7.1,0,257,85.7,13.088,144.619,2002,7
6.7,0,462,62,-27.535,-70.586,2002,6
6.8,0,292,24.9,16.985,-100.865,2002,7
7.1,0,550,32.8,24.279,122.179,2002,7
6.5,0,486,125.1,-21.663,-68.329,2002,7
7.5,0,321,31,6.033,124.249,2002,7
7.4,0,138,225.6,36.502,70.482,2002,7
6.6,0,444,39,-5.345,151.248,2002,7
6.5,0,482,5,38.573,31.271,2002,7
6.7,0,333,11,-3.212,142.427,2002,7
6.6,0,386,10,-17.664,168.004,2002,7
7.2,0,427,21,-17.6,167.856,2002,7
6.8,0,385,16,-9.613,159.53,2001,7
6.8,0,499,14,23.954,122.734,2001,7
6.5,0,605,123.8,39.402,141.089,2001,7
7.8,0,368,10,35.946,90.541,2001,7
7,0,254,33,-5.912,150.196,2001,7
7.5,0,234,33,-4.102,123.907,2001,7
7,0,482,37,12.686,144.98,2001,7
6.5,0,174,33,-0.578,133.13,2001,7
6.6,6,0,131.8,58.775,-154.701,2001,5
6.5,0,483,10,39.059,24.244,2001,7
7.6,0,398,33,-17.543,-72.077,2001,7
6.6,0,324,62,-16.086,-73.987,2001,7
6.7,0,422,24,-17.745,-71.649,2001,7
8.4,0,518,33,-16.265,-73.641,2001,8
6.7,0,282,17,-7.41,155.865,2001,7
6.8,0,596,50,34.083,132.526,2001,7
6.5,0,206,33,-4.029,128.02,2001,7
6.8,7,67,51.798,47.149,-122.727,2001,2
7.1,0,426,35,1.271,126.249,2001,7
7.4,0,221,36,-4.68,102.562,2001,7
6.6,0,273,10,13.671,-88.938,2001,7
7.7,0,472,16,23.419,70.232,2001,7
6.9,0,117,28,-4.022,101.776,2001,6
7.7,0,427,60,13.049,-88.66,2001,7
6.9,5,0,36.4,56.7744,-153.281,2001,5
7.1,0,372,103,-14.928,167.17,2001,6
6.8,0,64,33,6.631,126.899,2001,7
7.5,0,324,33,6.898,126.579,2001,7
